Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type,PwD
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2275.0,1466.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",1847.0,1847.0,EWS,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",1655.0,1238.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",2680.0,2680.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",272.0,175.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2694.0,2114.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2329.0,2329.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",655.0,590.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (4 Years, Bachelor of Technology)",8787.0,7126.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2921.0,2554.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (4 Years, Bachelor of Technology)",705.0,705.0,EWS,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Chemistry (4 Years, Bachelor of Science)",650.0,568.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1.0,1.0,EWS,true
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Economics (4 Years, Bachelor of Science)",922.0,922.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",572.0,306.0,OPEN,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2219.0,1252.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",410.0,155.0,SC,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",5939.0,4968.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Engineering Physics (4 Years, Bachelor of Technology)",469.0,371.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4869.0,4023.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",250.0,82.0,SC,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",1116.0,1116.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",378.0,363.0,EWS,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",19319.0,13745.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",397.0,294.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3072.0,2841.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",766.0,766.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Aerospace Engineering (4 Years, Bachelor of Technology)",29.0,29.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",313.0,10.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1.0,1.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Economics (4 Years, Bachelor of Science)",942.0,899.0,SC,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (4 Years, Bachelor of Technology)",1058.0,697.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",10.0,10.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",657.0,336.0,SC,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2822.0,2647.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Engineering Physics (4 Years, Bachelor of Technology)",797.0,172.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",477.0,234.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",6.0,14.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",4016.0,3205.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",1160.0,1109.0,ST,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",9388.0,7158.0,OPEN,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",14897.0,13878.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",213.0,213.0,EWS,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2842.0,2240.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",863.0,863.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",3095.0,2486.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10981.0,10472.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",687.0,687.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",99.0,99.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",1829.0,1531.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",1203.0,694.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Female-only (including Supernumerary),2019,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",2717.0,2717.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",8332.0,7328.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2019,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1671.0,1671.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Aerospace Engineering (4 Years, Bachelor of Technology)",2082.0,1182.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"BS in Mathematics (4 Years, Bachelor of Science)",1419.0,1177.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",24.0,21.0,EWS,false
Indian Institute of Technology Bombay,AI,Female-only (including Supernumerary),2019,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4480.0,4102.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2019,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",203.0,203.0,ST,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",262.0,262.0,ST,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Data Science and Engineering (4 Years, Bachelor of Technology)",6735.0,6644.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Data Science and Engineering (4 Years, Bachelor of Technology)",925.0,925.0,ST,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",5690.0,5214.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Engineering Physics (4 Years, Bachelor of Technology)",14137.0,13757.0,OPEN,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (4 Years, Bachelor of Technology)",2003.0,1956.0,SC,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",5366.0,3768.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Engineering Physics (4 Years, Bachelor of Technology)",4017.0,3180.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Engineering Physics (4 Years, Bachelor of Technology)",2209.0,1875.0,SC,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (4 Years, Bachelor of Technology)",3932.0,2377.0,OPEN,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (4 Years, Bachelor of Technology)",901.0,901.0,EWS,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",1176.0,1176.0,EWS,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",3108.0,1243.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12.0,7.0,EWS,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",19.0,3.0,ST,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",380.0,363.0,ST,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1067.0,640.0,OPEN,false
Indian Institute of Technology Indore,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2803.0,1816.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Architecture (5 Years, Bachelor of Architecture)",2415.0,2415.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Architecture (5 Years, Bachelor of Architecture)",646.0,1211.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",871.0,595.0,ST,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12786.0,12500.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemical Engineering (4 Years, Bachelor of Technology)",182.0,182.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (4 Years, Bachelor of Technology)",960.0,960.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4713.0,3651.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",666.0,463.0,ST,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Civil Engineering (4 Years, Bachelor of Technology)",8707.0,7926.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",588.0,588.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",283.0,204.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",332.0,278.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Economics (5 Years, Integrated Master of Science)",5310.0,2959.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",1417.0,781.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1846.0,1846.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",1061.0,968.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Exploration Geophysics (5 Years, Integrated Master of Science)",1167.0,1167.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Exploration Geophysics (5 Years, Integrated Master of Science)",4544.0,4155.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",4309.0,4268.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",4990.0,3880.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",2564.0,1980.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",5940.0,4559.0,OPEN,false
Indian Institute of Technology Mandi,AI,Female-only (including Supernumerary),2019,"Engineering Physics (4 Years, Bachelor of Technology)",3482.0,3482.0,SC,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Engineering Physics (4 Years, Bachelor of Technology)",1088.0,1088.0,ST,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",7222.0,5368.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",1443.0,1244.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Chemical Engineering (4 Years, Bachelor of Technology)",1242.0,631.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1927.0,1370.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",681.0,50.0,SC,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",197.0,128.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",565.0,454.0,SC,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Engineering Physics (4 Years, Bachelor of Technology)",3710.0,1840.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Mathematics and Computing (4 Years, Bachelor of Technology)",989.0,438.0,OPEN,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",1585.0,1035.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",255.0,134.0,ST,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Textile Technology (4 Years, Bachelor of Technology)",9677.0,7440.0,OPEN,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",1170.0,775.0,SC,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2199.0,1677.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",8592.0,8204.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",721.0,721.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Applied Geology (5 Years, Integrated Master of Science)",2715.0,1683.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",1828.0,1828.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",263.0,239.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",8.0,8.0,OBC-NCL,true
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",39.0,17.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",598.0,406.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",299.0,202.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",353.0,107.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1436.0,936.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",653.0,420.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",2410.0,1385.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Instrumentation Engineering (4 Years, Bachelor of Technology)",999.0,764.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Mathematics and Computing (5 Years, Integrated Master of Science)",1385.0,475.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",178.0,168.0,EWS,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Chemical Engineering (4 Years, Bachelor of Technology)",267.1,218.0,EWS,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4797.0,4216.0,OPEN,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",465.0,233.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",469.0,297.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Electrical Engineering (4 Years, Bachelor of Technology)",24.0,16.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Mathematics and Computing (4 Years, Bachelor of Technology)",29.0,23.0,EWS,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",310.0,57.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",3253.0,2081.0,OPEN,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Civil Engineering (4 Years, Bachelor of Technology)",2894.0,2405.0,OBC-NCL,false
Indian Institute of Technology Indore,AI,Female-only (including Supernumerary),2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",4879.0,4633.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Aerospace Engineering (4 Years, Bachelor of Technology)",1079.0,621.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Aerospace Engineering (4 Years, Bachelor of Technology)",1387.0,1387.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1949.0,1949.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1091.0,1091.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Architecture (5 Years, Bachelor of Architecture)",1745.0,1745.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Architecture (5 Years, Bachelor of Architecture)",19024.0,6601.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",6.0,6.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",4514.0,4514.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",36.0,36.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",147.0,147.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Instrumentation Engineering (4 Years, Bachelor of Technology)",1923.0,1444.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",2179.0,2179.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Mathematics and Computing (5 Years, Integrated Master of Science)",721.0,364.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",93.0,2.0,OPEN,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Engineering Physics (4 Years, Bachelor of Technology)",706.0,706.0,EWS,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",344.0,252.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Female-only (including Supernumerary),2019,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",615.0,615.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2019,"Textile Technology (4 Years, Bachelor of Technology)",3258.0,2093.0,OBC-NCL,false
Indian Institute of Technology Indore,AI,Female-only (including Supernumerary),2019,"Computer Science and Engineering (4 Years, Bachelor of Technology)",466.0,436.0,SC,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2019,"Mechanical Engineering (4 Years, Bachelor of Technology)",5279.0,3797.0,OPEN,false
Indian Institute of Technology Indore,AI,Female-only (including Supernumerary),2019,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",15975.0,14257.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1062.0,1054.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",1819.0,1510.0,SC,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",956.0,956.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemical Engineering (4 Years, Bachelor of Technology)",3516.0,2309.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (4 Years, Bachelor of Technology)",3714.0,2730.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",7807.0,5816.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4324.0,4324.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemistry (5 Years, Integrated Master of Science)",1202.0,1202.0,EWS,false
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2019,"Chemistry (5 Years, Integrated Master of Science)",7240.0,6947.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2019,"Chemistry (5 Years, Integrated Master of Science)",56.0,1145.0,ST,false
